site,block,warming_treatment,plot_id,species,plant_id,phylo,year,doy,photosyn,gs,ci,soil_water,tleaf,VPG,percent_stomatal_limitation,Agmax,Vcmax25
cfc,d,ambient,d5,rhaca,600,angio,2010,236,13.32711493,0.423404603,319.967201,0.251419375,26.31352615,1.47245365,0.150814647,15.694,49.33078377
cfc,d,ambient,d5,rhaca,602,angio,2009,189,2.79,0.0244,202,0.1354905,28.03,2.094870197,0.822225054,15.694,15.9416572
cfc,d,ambient,d5,rhaca,603,angio,2011,210,12.83333333,0.451,320.3333333,0.23936725,26.25,1.676895745,0.182277728,15.694,47.45705063
cfc,d,ambient,d5,rhaca,605,angio,2009,224,6.763499098,0.312740818,341.2487035,0.2368295,32.58866882,1.831277466,0.569039181,15.694,23.72540386
cfc,d,warmed,d6,abiba,607,gymno,2011,236,10.04963713,0.121233993,220.066445,0.18565,26.53496103,1.518737886,0.136427563,11.63728334,52.58011617
cfc,d,warmed,d6,abiba,612,gymno,2011,210,8.306910337,NA,NA,0.188785,30.01262027,1.5195502,0.286181311,11.63728334,NA
cfc,d,warmed,d6,picgl,613,gymno,2011,210,11.13435323,NA,NA,0.188785,30.2466882,1.863514403,0.312577139,16.19724024,NA
cfc,d,warmed,d6,aceru,617,angio,2011,210,6.503333333,0.135,291,0.188785,32.92,3.354028935,0.469353854,12.25549903,26.13374674
cfc,d,warmed,d6,aceru,618,angio,2011,167,7.862592473,0.128583857,280.3679267,0.152175,20.13879013,1.242492399,0.358443711,12.25549903,32.66316302
cfc,d,warmed,d6,aceru,619,angio,2009,162,11.83333333,0.138333333,232.6666667,0.152094,26.51,1.83880195,0.034447043,12.25549903,58.57815748
